,time,cityName,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
0,2022-03-10T00:08:24.772939+09:00,[서울특별시],3090396,3130253,168915,3762,30262,1508,735,1510,4003,4765,1225,3100
1,2022-03-10T00:08:24.772939+09:00,[부산광역시],842540,1269618,44663,1051,19288,466,280,436,1647,2658,542,839
2,2022-03-10T00:08:24.772939+09:00,[대구광역시],356502,1196963,28671,847,11237,325,205,405,2297,906,503,634
3,2022-03-10T00:08:24.772939+09:00,[인천광역시],952509,839376,47674,1315,14357,569,304,620,1168,1556,611,868
4,2022-03-10T00:08:24.772939+09:00,[광주광역시],843576,113865,13706,406,5244,222,81,134,103,1414,178,460
5,2022-03-10T00:08:24.772939+09:00,[대전광역시],454553,449042,23723,591,6934,234,117,190,504,997,246,416
6,2022-03-10T00:08:24.772939+09:00,[울산광역시],301680,395354,19939,355,8573,327,114,202,717,2197,202,283
7,2022-03-10T00:08:24.772939+09:00,[세종특별자치시],129159,93489,6027,84,1227,51,11,33,80,160,44,51
8,2022-03-10T00:08:24.772939+09:00,[경기도],4188735,3718605,181566,3623,55847,1796,936,1702,5242,7918,1878,2791
9,2022-03-10T00:08:24.772939+09:00,[강원도],427108,542773,23326,562,10309,337,175,243,704,1251,540,480
10,2022-03-10T00:08:24.772939+09:00,[충청북도],450803,519830,24892,654,9949,438,197,271,787,1135,765,645
11,2022-03-10T00:08:24.772939+09:00,[충청남도],589733,675863,30068,749,12747,468,209,314,893,1499,862,874
12,2022-03-10T00:08:24.772939+09:00,[전라북도],1034095,162977,17700,480,6743,395,158,232,323,859,456,1607
13,2022-03-10T00:08:24.772939+09:00,[전라남도],1111614,130876,14778,695,7196,510,193,342,328,1885,561,2585
14,2022-03-10T00:08:24.772939+09:00,[경상북도],408585,1295208,29964,998,15621,568,342,528,2140,1776,1780,1066
15,2022-03-10T00:08:24.772939+09:00,[경상남도],777455,1260616,48498,1205,26466,749,416,475,1910,4034,1404,1465
16,2022-03-10T00:08:24.772939+09:00,[제주특별자치도],221781,167862,12038,259,2962,133,49,105,213,453,228,325
17,2022-03-10T00:08:24.772939+09:00,,16180823,15962571,736148,17635,244963,9097,4523,7741,23059,35464,12023,18488
18,2022-03-10T00:09:40.343448+09:00,[서울특별시],3088553,3132187,168946,3739,30318,1510,751,1514,3993,4740,1228,3100
19,2022-03-10T00:09:40.343448+09:00,[부산광역시],842725,1269173,44663,1057,19379,477,282,441,1666,2704,542,840
20,2022-03-10T00:09:40.343448+09:00,[대구광역시],357594,1195836,28713,853,11239,325,206,402,2288,907,499,638
21,2022-03-10T00:09:40.343448+09:00,[인천광역시],952078,840346,47434,1294,14210,550,301,615,1151,1535,602,863
22,2022-03-10T00:09:40.343448+09:00,[광주광역시],843863,113671,13667,401,5234,218,79,133,103,1430,176,450
23,2022-03-10T00:09:40.343448+09:00,[대전광역시],454208,449274,23761,591,6938,234,118,190,502,993,244,411
24,2022-03-10T00:09:40.343448+09:00,[울산광역시],301564,395389,19959,357,8624,327,113,200,710,2207,200,285
25,2022-03-10T00:09:40.343448+09:00,[세종특별자치시],128840,93676,6152,86,1228,50,11,32,79,161,43,57
